speaker,trial,target_colour_textgrid,target_name_textgrid,colour_start,colour_end,colour_dur,item_start,item_end,item_dur,condition,typicality,target_name,target_colour,competitor_name,competitor_colour,distractor1_name,distractor1_colour,distractor2_name,distractor2_colour,object_en,colour_en,typ_mean,typ_sd,typ_median
LM,47,roten,gurke,236.0849,236.4749,0.38999999999998636,236.4749,236.8949,0.4200000000000159,NF,atypical,Gurke,rot,Socken,rot,Zucchini,braun,Sonnenbrille,orange,cucumber,red,0.8316831683168316,3.4498385670367044,0
LM,49,roten,aprikose,246.413,246.773,0.3599999999999852,246.773,247.453,0.6800000000000068,NF,medium,Aprikose,rot,Waescheklammer,rot,Zucchini,gruen,Sonnenbrille,gelb,apricot,red,33.148514851485146,32.654061351878994,25
LM,52,gruenen,moehre,260.6749,261.0349,0.36000000000001364,261.0349,261.3949,0.36000000000001364,NF,atypical,Moehre,gruen,Sonnenbrille,gruen,Birne,orange,Waescheklammer,orange,carrots,green,3.99009900990099,13.916533368267366,0
LM,54,gruenen,tomate,269.7674,270.1374,0.37000000000000455,270.1374,270.6974,0.5600000000000023,NF,medium,Tomate,gruen,Bueroklammer,gruen,Sonnenbrille,gelb,Sonnenbrille,rot,tomato,green,25.99009900990099,28.510522636214493,18
LM,56,gelben,kirsche,278.8003,279.1803,0.37999999999999545,279.1803,279.6103,0.4300000000000068,NF,atypical,Kirsche,gelb,Sonnenbrille,gelb,Birne,rot,Waescheklammer,rot,cherry,yellow,1.386138613861386,3.9848972308698327,0
LM,57,braunen,paprika,282.6441,283.1141,0.4700000000000273,283.1141,283.6741,0.5600000000000023,NF,atypical,Paprika,braun,Sonnenbrille,braun,Waescheklammer,rot,Aubergine,gelb,pepper,brown,7.772277227722772,16.440730633471745,0
LM,61,gelben,zitrone,302.9277,303.2877,0.3599999999999568,303.2877,303.9077,0.6200000000000045,NF,typical,Zitrone,gelb,Socken,gelb,Waescheklammer,orange,Avokado,gruen,lemon,yellow,99.6039603960396,2.3794083631053837,100
LM,65,gelben,erbsen,323.3729,323.7429,0.37000000000000455,323.7429,324.2429,0.5,NF,medium,Erbsen,gelb,Waescheklammer,gelb,Socken,rot,Birne,orange,peas,yellow,34.57425742574257,33.063377484659206,27
LM,70,orangen,mandarine,350.1366,350.6466,0.5099999999999909,350.6466,351.2866,0.6400000000000432,NF,typical,Mandarine,orange,Socken,orange,Avokado,gruen,Zucchini,gelb,mandarine,orange,98.70297029702972,4.731901424280615,100
MS,3,gelben,zitrone,19.9798,20.3398,0.35999999999999943,20.3398,20.8998,0.5599999999999987,NF,typical,Zitrone,gelb,Waescheklammer,gelb,Bueroklammer,rot,Sonnenbrille,rot,lemon,yellow,99.6039603960396,2.3794083631053837,100
MS,4,orangen,trauben,24.3445,24.9345,0.5899999999999999,24.9345,25.3945,0.46000000000000085,NF,atypical,Trauben,orange,Waescheklammer,orange,Aubergine,rot,Zucchini,braun,grapes,orange,5.871287128712871,14.374048397258605,0
MS,6,braunen,banane,36.6724,37.1524,0.4799999999999969,37.1524,37.7024,0.5499999999999972,NF,medium,Banane,braun,Waescheklammer,braun,Zucchini,rot,Avokado,gruen,banana,brown,27.643564356435643,28.333225781197537,22
MS,8,roten,erdbeere,49.023,49.383,0.35999999999999943,49.383,49.963,0.5799999999999983,NF,typical,Erdbeere,rot,Bueroklammer,rot,Waescheklammer,gruen,Waescheklammer,orange,strawberry,red,99.35643564356435,2.7150843759111485,100
MS,10,braunen,paprika,61.0094,61.4094,0.3999999999999986,61.4094,62.0494,0.6400000000000006,NF,atypical,Paprika,braun,Sonnenbrille,braun,Socken,gelb,Waescheklammer,rot,pepper,brown,7.772277227722772,16.440730633471745,0
MS,12,gelben,erbsen,74.1994,74.5594,0.35999999999999943,74.5594,75.0494,0.4900000000000091,NF,medium,Erbsen,gelb,Socken,gelb,Birne,rot,Sonnenbrille,braun,peas,yellow,34.57425742574257,33.063377484659206,27
MS,17,gruenen,moehre,105.8898,106.1798,0.29000000000000625,106.1798,106.6398,0.45999999999999375,NF,atypical,Moehre,gruen,Bueroklammer,gruen,Waescheklammer,orange,Zucchini,rot,carrots,green,3.99009900990099,13.916533368267366,0
MS,21,roten,gurke,126.791,127.281,0.4900000000000091,127.281,127.691,0.4099999999999966,NF,atypical,Gurke,rot,Waescheklammer,rot,Avokado,gruen,Bueroklammer,braun,cucumber,red,0.8316831683168316,3.4498385670367044,0
MS,23,orangen,mandarine,136.8607,137.4207,0.5600000000000023,137.4207,138.1407,0.7199999999999989,NF,typical,Mandarine,orange,Bueroklammer,orange,Socken,gruen,Birne,rot,mandarine,orange,98.70297029702972,4.731901424280615,100
MS,25,gelben,kirsche,148.718,149.078,0.36000000000001364,149.078,149.628,0.549999999999983,NF,atypical,Kirsche,gelb,Sonnenbrille,gelb,Birne,gruen,Bueroklammer,rot,cherry,yellow,1.386138613861386,3.9848972308698327,0
